12775:00:00:000:0,sat,0.96000
13140:00:00:000:0,next_field,[33;33;33]
13140:00:00:000:0,amb,0.80000
13140:00:00:000:0,usd,1.00000
13140:00:00:000:0,sat,0.96000
13505:00:00:000:0,next_field,[33;33;33]
13505:00:00:000:0,amb,0.80000
13505:00:00:000:0,usd,1.00000
13505:00:00:000:0,sat,0.96000
13870:00:00:000:0,next_field,[33;33;33]
13870:00:00:000:0,amb,0.80000
13870:00:00:000:0,usd,1.00000
13870:00:00:000:0,sat,0.96000
14235:00:00:000:0,next_field,[33;33;33]
14235:00:00:000:0,amb,0.80000
14235:00:00:000:0,usd,1.00000
14235:00:00:000:0,sat,0.96000
14600:00:00:000:0,next_field,[33;33;33]
14600:00:00:000:0,amb,0.80000
14600:00:00:000:0,usd,1.00000
14600:00:00:000:0,sat,0.96000
14965:00:00:000:0,next_field,[33;33;33]
14965:00:00:000:0,amb,0.80000
14965:00:00:000:0,usd,1.00000
14965:00:00:000:0,sat,0.96000
15330:00:00:000:0,next_field,[33;33;33]
15330:00:00:000:0,amb,0.80000
15330:00:00:000:0,usd,1.00000
15330:00:00:000:0,sat,0.96000
15695:00:00:000:0,next_field,[33;33;33]
15695:00:00:000:0,amb,0.80000
15695:00:00:000:0,usd,1.00000
15695:00:00:000:0,sat,0.96000
16060:00:00:000:0,next_field,[33;33;33]
16060:00:00:000:0,amb,0.80000
16060:00:00:000:0,usd,1.00000
16060:00:00:000:0,sat,0.96000
16425:00:00:000:0,next_field,[33;33;33]
16425:00:00:000:0,amb,0.80000
16425:00:00:000:0,usd,1.00000
16425:00:00:000:0,sat,0.96000
16790:00:00:000:0,next_field,[33;33;33]
16790:00:00:000:0,amb,0.80000
16790:00:00:000:0,usd,1.00000
16790:00:00:000:0,sat,0.96000
17155:00:00:000:0,next_field,[33;33;33]
17155:00:00:000:0,amb,0.80000
17155:00:00:000:0,usd,1.00000
17155:00:00:000:0,sat,0.96000
17520:00:00:000:0,next_field,[33;33;33]
17520:00:00:000:0,amb,0.80000
17520:00:00:000:0,usd,1.00000
17520:00:00:000:0,sat,0.96000
17885:00:00:000:0,next_field,[33;33;33]
17885:00:00:000:0,amb,0.80000
17885:00:00:000:0,usd,1.00000
17885:00:00:000:0,sat,0.96000
18250:00:00:000:0,next_field,[33;33;33]
18250:00:00:000:0,amb,0.80000
18250:00:00:000:0,usd,1.00000
18250:00:00:000:0,sat,0.96000
